,Eabs,Ei,area,clear_sky,density,incli_base,incli_top,infl,isolated,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,w0_slp,wl_slp
0,0.0,0.0,0.0277866684,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0331824473,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0391217551,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.045487462,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0518821213,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0579211204,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.00150368334916,0.0017283716657,0.0630485029,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.00760385550289,0.00874006379643,0.0666873835,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.00338243516342,0.00388785650968,0.0683357693,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0204553884328,0.0235119407274,0.0674515376,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.134031960754,0.154059725005,0.0642557993,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.077440103417,0.089011613123,0.0584597288,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.17883485486,0.205557304437,0.0511166875,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.35325653902,0.406041998873,0.0421768728,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.488089042108,0.561021887481,0.0333982456,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.538079387933,0.618482055096,0.0248421734,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0277866861,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0331824924,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0391217682,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0454873655,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0518821255,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.057921104,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.00313690530486,0.00360563828145,0.0630486007,1.0,12.5,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
