,Eabs,Ei,area,clear_sky,density,incli_base,incli_top,infl,isolated,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,w0_slp,wl_slp
0,0.0,0.0,0.0277866684,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.000501208156619,0.000576101329448,0.0331824528,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.0391217596,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0,0.0,0.045487436,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.00483603822976,0.00555866463191,0.0518820789,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.00495785249916,0.00569868103352,0.0579211211,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0150167268462,0.0172606055703,0.0630484963,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0546802221419,0.0628508300481,0.0666874002,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0213421579205,0.0245312160006,0.0683357596,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.0544373769917,0.0625716976916,0.0674515847,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.187143668558,0.21510766501,0.0642557927,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.164440915108,0.189012546101,0.0584597061,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.262137501198,0.301307472642,0.0511166745,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.381152129776,0.438105896294,0.0421768728,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.531917443303,0.611399360118,0.0333982449,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
0,0.616379885169,0.708482626631,0.0248421733,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0277866861,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0331824942,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.000305462023588,0.000351105774239,0.0391217699,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0,0.0,0.0454873608,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.00639388851932,0.00734929714865,0.051882157,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.00279128410738,0.00320837253722,0.0579211312,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0140108169187,0.0161043872629,0.0630485834,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0464105046354,0.0533454076268,0.0666874019,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0145544897333,0.016729298544,0.0683358034,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.0509960738445,0.0586161768327,0.0674513525,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.222197913558,0.255399900642,0.0642557827,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.164818202905,0.189446210235,0.0584597817,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.242159167329,0.278343870493,0.0511166724,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.372442887517,0.428095273008,0.0421768699,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.55699836469,0.640228005391,0.0333982555,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
1,0.625763571591,0.719268473093,0.0248421703,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00595
2,0.0,0.0,0.0277866754,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0,0.0,0.0331824891,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0,0.0,0.0391217951,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.000294993375316,0.000339072845191,0.045487452,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.00448637441761,0.00515675220415,0.0518820906,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.00216532065593,0.00248887431716,0.0579212195,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0125425272006,0.0144166979317,0.0630484834,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0487518428969,0.0560366010309,0.0666873992,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0131104018121,0.0150694273703,0.0683358919,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
2,0.0526623459395,0.0605314321143,0.0674514853,1.0,9.0,86.25,23.0,40.0,0.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,0.007,0.00805
