dataset,year,treatment,tiller,N,Nmax,lmax,wmax,w(0),w(0.02),w(0.04),w(0.06),w(0.08),w(0.1),w(0.12),w(0.14),w(0.16),w(0.18),w(0.2),w(0.22),w(0.24),w(0.26),w(0.28),w(0.3),w(0.32),w(0.34),w(0.36),w(0.38),w(0.4),w(0.42),w(0.44),w(0.46),w(0.48),w(0.5),w(0.52),w(0.54),w(0.56),w(0.58),w(0.6),w(0.62),w(0.64),w(0.66),w(0.68),w(0.7),w(0.72),w(0.74),w(0.76),w(0.78),w(0.8),w(0.82),w(0.84),w(0.86),w(0.88),w(0.9),w(0.92),w(0.94),w(0.96),w(0.98),w(1)
Wheat I,2007/8,1,0,1,14,7.8236,0.30124,0.1192,0.35924,0.4998,0.68884,0.78225,0.8195,0.79556,0.86426,0.88443,0.89166,0.91622,0.93043,0.94476,0.91173,0.93691,0.9565,0.9521,0.95169,0.97785,0.97014,0.96672,0.98242,0.95846,1.0009,0.98334,0.98219,0.98698,0.96909,0.9632,0.96985,0.96915,0.9597,0.9705,1.0019,0.9748,0.98552,1.0018,0.99379,1.0017,1.002,1.002,0.98498,1.0019,0.96677,0.97819,0.96487,0.97158,0.92111,0.89233,0.82177,0.72786
Wheat I,2007/8,1,0,2,14,11.9567,0.33618,-0.084622,0.16585,0.23707,0.30668,0.35809,0.39686,0.45248,0.46073,0.47644,0.50053,0.51056,0.5511,0.59562,0.62926,0.64745,0.66764,0.70648,0.73197,0.75654,0.7779,0.77896,0.79984,0.84719,0.85094,0.86932,0.87297,0.89917,0.9082,0.9454,0.94985,0.93132,0.96994,0.96571,1.0037,0.97228,0.98,0.99002,0.98474,0.98075,0.98223,0.99437,1.0045,0.99338,1.0141,1.0086,0.97223,0.96919,0.97099,0.90948,0.87138,0.68068
Wheat I,2007/8,1,0,3,14,13.636,0.50249,0.046027,0.11319,0.17108,0.2246,0.28118,0.32601,0.34866,0.39326,0.40673,0.44764,0.50378,0.53279,0.55577,0.58775,0.60488,0.66908,0.73405,0.77678,0.77709,0.81654,0.83897,0.85651,0.8711,0.88197,0.89178,0.90742,0.94038,0.94108,0.9646,0.96181,0.9696,0.97928,0.9652,0.96638,0.9783,0.97868,0.96018,0.95379,0.96342,0.95279,0.95017,0.93351,0.9437,0.92915,0.91747,0.88847,0.88866,0.86832,0.8153,0.75029,0.54479
Wheat I,2007/8,1,0,4,14,13.7206,0.62325,-0.023469,0.093131,0.14648,0.21005,0.26444,0.29569,0.34376,0.38802,0.43088,0.47048,0.5225,0.55637,0.58729,0.60931,0.62842,0.65364,0.66703,0.68328,0.69951,0.77454,0.7898,0.81312,0.86597,0.87196,0.88428,0.91764,0.94,0.95953,0.96829,0.96386,0.9739,0.98893,0.98697,0.98905,0.97817,0.97096,0.96456,0.95709,0.95663,0.95627,0.97042,0.95093,0.93113,0.90735,0.90041,0.87751,0.83759,0.76138,0.67574,0.5996,0.4637
Wheat I,2007/8,1,0,5,14,14.4111,0.71696,0.021724,0.10968,0.17609,0.2472,0.30444,0.37466,0.39407,0.45024,0.5106,0.54012,0.5681,0.59377,0.61812,0.66529,0.70319,0.71178,0.74076,0.75525,0.79719,0.82819,0.84404,0.8569,0.89987,0.92491,0.95266,0.97096,0.97926,0.96986,0.9795,0.98445,0.9743,0.95229,0.93987,0.92574,0.91574,0.92714,0.92409,0.92783,0.9189,0.92551,0.91976,0.90691,0.89583,0.87819,0.86413,0.84904,0.83887,0.82403,0.77655,0.75183,0.50791
Wheat I,2007/8,1,0,6,14,13.75,0.78012,0.015775,0.11305,0.22167,0.29181,0.33964,0.38642,0.44942,0.50145,0.53702,0.56251,0.58217,0.627,0.66381,0.7102,0.72394,0.74177,0.75399,0.78593,0.80546,0.81273,0.84498,0.88557,0.92874,0.94731,0.97301,0.98607,0.97737,0.97614,0.95681,0.96329,0.96168,0.94754,0.9442,0.93712,0.93184,0.92472,0.92674,0.9181,0.91818,0.89085,0.89176,0.875,0.86571,0.85254,0.83315,0.82026,0.8023,0.78774,0.77444,0.7143,0.52331
Wheat I,2007/8,1,0,7,14,13.8233,0.84868,0.061366,0.10797,0.21518,0.30015,0.3721,0.42437,0.47662,0.52703,0.57427,0.6011,0.64534,0.69004,0.71651,0.75239,0.77485,0.80041,0.82147,0.8328,0.85584,0.86493,0.88862,0.92477,0.94419,0.967,0.98265,0.9802,0.98543,0.98133,0.97359,0.96472,0.94821,0.92927,0.92276,0.91449,0.90409,0.90635,0.88971,0.88829,0.87886,0.87498,0.85914,0.87292,0.84782,0.85626,0.83859,0.83818,0.80756,0.78983,0.75213,0.74396,0.49697
Wheat I,2007/8,1,0,8,14,15.5241,0.89335,-0.036369,0.15769,0.25636,0.34731,0.42224,0.48712,0.5331,0.57681,0.63971,0.67599,0.69848,0.73229,0.75926,0.7853,0.80628,0.82307,0.83603,0.86053,0.89582,0.93165,0.94753,0.95903,0.97663,0.96839,0.97128,0.97506,0.98087,0.97608,0.97077,0.96351,0.95607,0.95155,0.94809,0.92708,0.91883,0.91662,0.89408,0.88311,0.8849,0.88263,0.8681,0.88613,0.86534,0.85163,0.8382,0.80022,0.78617,0.76773,0.7531,0.70745,0.48175
Wheat I,2007/8,1,0,9,14,18.3943,1.052,-0.033834,0.12471,0.20454,0.29977,0.3751,0.43836,0.48968,0.53423,0.58167,0.62673,0.68173,0.71953,0.74662,0.73502,0.76344,0.78932,0.82381,0.85386,0.87796,0.9119,0.93852,0.95257,0.9629,0.95831,0.97079,0.98271,0.9723,0.97664,0.97439,0.96975,0.96956,0.96201,0.94736,0.96408,0.94332,0.94339,0.92452,0.91067,0.89739,0.88953,0.89918,0.89615,0.8981,0.86545,0.85747,0.86085,0.84439,0.84603,0.82913,0.80578,0.66562
Wheat I,2007/8,1,0,10,14,22.566,1.2629,0.051645,0.064023,0.15802,0.22152,0.28883,0.37614,0.43877,0.51205,0.55719,0.57233,0.5973,0.62497,0.65195,0.68621,0.71368,0.72373,0.75939,0.80679,0.83732,0.88015,0.89953,0.92147,0.92794,0.94872,0.96603,0.97647,0.98414,0.98752,0.99119,0.98556,0.97469,0.97355,0.98861,0.98598,0.98754,0.99202,0.97306,0.96388,0.95491,0.96176,0.96709,0.95456,0.93435,0.93396,0.91872,0.90577,0.90273,0.8824,0.86068,0.80752,0.68369
