"year","genotype","N","Nmax","lmax","wmax","l","w"
"2004","geno3",1,18,3.59,1.3616,1,0
"2004","geno3",1,18,3.59,1.3616,0.98,0.035454
"2004","geno3",1,18,3.59,1.3616,0.96,0.1254
"2004","geno3",1,18,3.59,1.3616,0.94,0.2281
"2004","geno3",1,18,3.59,1.3616,0.92,0.32478
"2004","geno3",1,18,3.59,1.3616,0.9,0.39697
"2004","geno3",1,18,3.59,1.3616,0.88,0.47781
"2004","geno3",1,18,3.59,1.3616,0.86,0.5937
"2004","geno3",1,18,3.59,1.3616,0.84,0.66605
"2004","geno3",1,18,3.59,1.3616,0.82,0.75009
"2004","geno3",1,18,3.59,1.3616,0.8,0.80087
"2004","geno3",1,18,3.59,1.3616,0.78,0.83053
"2004","geno3",1,18,3.59,1.3616,0.76,0.85903
"2004","geno3",1,18,3.59,1.3616,0.74,0.85921
"2004","geno3",1,18,3.59,1.3616,0.72,0.87434
"2004","geno3",1,18,3.59,1.3616,0.7,0.91336
"2004","geno3",1,18,3.59,1.3616,0.68,0.91336
"2004","geno3",1,18,3.59,1.3616,0.66,0.9293
"2004","geno3",1,18,3.59,1.3616,0.64,0.99342
"2004","geno3",1,18,3.59,1.3616,0.62,1
"2004","geno3",1,18,3.59,1.3616,0.6,0.98007
"2004","geno3",1,18,3.59,1.3616,0.58,0.95668
"2004","geno3",1,18,3.59,1.3616,0.56,0.95668
"2004","geno3",1,18,3.59,1.3616,0.54,0.98328
"2004","geno3",1,18,3.59,1.3616,0.52,0.98562
"2004","geno3",1,18,3.59,1.3616,0.5,0.95668
"2004","geno3",1,18,3.59,1.3616,0.48,0.95668
"2004","geno3",1,18,3.59,1.3616,0.46,0.95668
"2004","geno3",1,18,3.59,1.3616,0.44,0.92601
"2004","geno3",1,18,3.59,1.3616,0.42,0.91336
"2004","geno3",1,18,3.59,1.3616,0.4,0.8735
"2004","geno3",1,18,3.59,1.3616,0.38,0.82671
"2004","geno3",1,18,3.59,1.3616,0.36,0.82342
"2004","geno3",1,18,3.59,1.3616,0.34,0.76468
"2004","geno3",1,18,3.59,1.3616,0.32,0.74007
"2004","geno3",1,18,3.59,1.3616,0.3,0.74007
"2004","geno3",1,18,3.59,1.3616,0.28,0.74007
"2004","geno3",1,18,3.59,1.3616,0.26,0.70619
"2004","geno3",1,18,3.59,1.3616,0.24,0.68373
"2004","geno3",1,18,3.59,1.3616,0.22,0.64901
"2004","geno3",1,18,3.59,1.3616,0.2,0.61791
"2004","geno3",1,18,3.59,1.3616,0.18,0.61011
"2004","geno3",1,18,3.59,1.3616,0.16,0.56725
"2004","geno3",1,18,3.59,1.3616,0.14,0.52108
"2004","geno3",1,18,3.59,1.3616,0.12,0.48988
"2004","geno3",1,18,3.59,1.3616,0.1,0.47653
"2004","geno3",1,18,3.59,1.3616,0.08,0.47653
"2004","geno3",1,18,3.59,1.3616,0.0599999999999999,0.47653
"2004","geno3",1,18,3.59,1.3616,0.04,0.45799
"2004","geno3",1,18,3.59,1.3616,0.02,0.43321
"2004","geno3",1,18,3.59,1.3616,0,0.43321
"2004","geno3",2,18,7.52,1.3025,1,0.090909
"2004","geno3",2,18,7.52,1.3025,0.98,0.19406
"2004","geno3",2,18,7.52,1.3025,0.96,0.30327
"2004","geno3",2,18,7.52,1.3025,0.94,0.39958
"2004","geno3",2,18,7.52,1.3025,0.92,0.45455
"2004","geno3",2,18,7.52,1.3025,0.9,0.53394
"2004","geno3",2,18,7.52,1.3025,0.88,0.54594
"2004","geno3",2,18,7.52,1.3025,0.86,0.63636
"2004","geno3",2,18,7.52,1.3025,0.84,0.72727
"2004","geno3",2,18,7.52,1.3025,0.82,0.72727
"2004","geno3",2,18,7.52,1.3025,0.8,0.72727
"2004","geno3",2,18,7.52,1.3025,0.78,0.72727
"2004","geno3",2,18,7.52,1.3025,0.76,0.912
"2004","geno3",2,18,7.52,1.3025,0.74,1
"2004","geno3",2,18,7.52,1.3025,0.72,1
"2004","geno3",2,18,7.52,1.3025,0.7,0.92939
"2004","geno3",2,18,7.52,1.3025,0.68,1
"2004","geno3",2,18,7.52,1.3025,0.66,1
"2004","geno3",2,18,7.52,1.3025,0.64,0.97964
"2004","geno3",2,18,7.52,1.3025,0.62,0.90909
"2004","geno3",2,18,7.52,1.3025,0.6,0.90909
"2004","geno3",2,18,7.52,1.3025,0.58,0.90909
"2004","geno3",2,18,7.52,1.3025,0.56,0.90909
"2004","geno3",2,18,7.52,1.3025,0.54,0.90909
"2004","geno3",2,18,7.52,1.3025,0.52,0.90909
"2004","geno3",2,18,7.52,1.3025,0.5,0.87879
"2004","geno3",2,18,7.52,1.3025,0.48,0.84206
"2004","geno3",2,18,7.52,1.3025,0.46,0.87879
"2004","geno3",2,18,7.52,1.3025,0.44,0.87879
"2004","geno3",2,18,7.52,1.3025,0.42,0.87879
"2004","geno3",2,18,7.52,1.3025,0.4,0.90909
"2004","geno3",2,18,7.52,1.3025,0.38,0.90909
"2004","geno3",2,18,7.52,1.3025,0.36,0.9177
"2004","geno3",2,18,7.52,1.3025,0.34,0.92424
"2004","geno3",2,18,7.52,1.3025,0.32,0.92424
"2004","geno3",2,18,7.52,1.3025,0.3,0.92424
"2004","geno3",2,18,7.52,1.3025,0.28,0.87879
"2004","geno3",2,18,7.52,1.3025,0.26,0.87879
"2004","geno3",2,18,7.52,1.3025,0.24,0.87879
"2004","geno3",2,18,7.52,1.3025,0.22,0.87879
"2004","geno3",2,18,7.52,1.3025,0.2,0.82939
"2004","geno3",2,18,7.52,1.3025,0.18,0.82576
"2004","geno3",2,18,7.52,1.3025,0.16,0.76515
"2004","geno3",2,18,7.52,1.3025,0.14,0.76515
"2004","geno3",2,18,7.52,1.3025,0.12,0.73485
"2004","geno3",2,18,7.52,1.3025,0.1,0.73485
"2004","geno3",2,18,7.52,1.3025,0.08,0.65909
"2004","geno3",2,18,7.52,1.3025,0.0599999999999999,0.64394
"2004","geno3",2,18,7.52,1.3025,0.04,0.62503
"2004","geno3",2,18,7.52,1.3025,0.02,0.55303
"2004","geno3",2,18,7.52,1.3025,0,0.54545
"2004","geno3",3,18,12.41,1.7069,1,0
"2004","geno3",3,18,12.41,1.7069,0.98,0.1439
"2004","geno3",3,18,12.41,1.7069,0.96,0.21937
"2004","geno3",3,18,12.41,1.7069,0.94,0.25786
"2004","geno3",3,18,12.41,1.7069,0.92,0.27799
"2004","geno3",3,18,12.41,1.7069,0.9,0.37006
"2004","geno3",3,18,12.41,1.7069,0.88,0.45283
"2004","geno3",3,18,12.41,1.7069,0.86,0.46541
"2004","geno3",3,18,12.41,1.7069,0.84,0.51472
"2004","geno3",3,18,12.41,1.7069,0.82,0.53459
"2004","geno3",3,18,12.41,1.7069,0.8,0.53459
"2004","geno3",3,18,12.41,1.7069,0.78,0.61006
"2004","geno3",3,18,12.41,1.7069,0.76,0.61006
"2004","geno3",3,18,12.41,1.7069,0.74,0.54712
"2004","geno3",3,18,12.41,1.7069,0.72,0.61006
"2004","geno3",3,18,12.41,1.7069,0.7,0.63208
"2004","geno3",3,18,12.41,1.7069,0.68,0.68553
"2004","geno3",3,18,12.41,1.7069,0.66,0.72956
"2004","geno3",3,18,12.41,1.7069,0.64,0.72956
"2004","geno3",3,18,12.41,1.7069,0.62,0.76101
"2004","geno3",3,18,12.41,1.7069,0.6,0.80176
"2004","geno3",3,18,12.41,1.7069,0.58,0.83648
"2004","geno3",3,18,12.41,1.7069,0.56,0.83648
"2004","geno3",3,18,12.41,1.7069,0.54,0.86164
"2004","geno3",3,18,12.41,1.7069,0.52,0.87547
"2004","geno3",3,18,12.41,1.7069,0.5,0.93082
"2004","geno3",3,18,12.41,1.7069,0.48,0.93082
"2004","geno3",3,18,12.41,1.7069,0.46,0.93082
"2004","geno3",3,18,12.41,1.7069,0.44,0.98742
"2004","geno3",3,18,12.41,1.7069,0.42,1
"2004","geno3",3,18,12.41,1.7069,0.4,1
"2004","geno3",3,18,12.41,1.7069,0.38,1
"2004","geno3",3,18,12.41,1.7069,0.36,1
"2004","geno3",3,18,12.41,1.7069,0.34,1
"2004","geno3",3,18,12.41,1.7069,0.32,1
"2004","geno3",3,18,12.41,1.7069,0.3,0.98742
"2004","geno3",3,18,12.41,1.7069,0.28,1
"2004","geno3",3,18,12.41,1.7069,0.26,1
"2004","geno3",3,18,12.41,1.7069,0.24,1
"2004","geno3",3,18,12.41,1.7069,0.22,1
"2004","geno3",3,18,12.41,1.7069,0.2,1
"2004","geno3",3,18,12.41,1.7069,0.18,0.93082
"2004","geno3",3,18,12.41,1.7069,0.16,0.86164
"2004","geno3",3,18,12.41,1.7069,0.14,0.81761
"2004","geno3",3,18,12.41,1.7069,0.12,0.81761
"2004","geno3",3,18,12.41,1.7069,0.1,0.76415
"2004","geno3",3,18,12.41,1.7069,0.08,0.72956
"2004","geno3",3,18,12.41,1.7069,0.0599999999999999,0.66712
"2004","geno3",3,18,12.41,1.7069,0.04,0.61006
"2004","geno3",3,18,12.41,1.7069,0.02,0.55361
"2004","geno3",3,18,12.41,1.7069,0,0.53459
"2004","geno3",4,18,14.93,1.7069,1,0
"2004","geno3",4,18,14.93,1.7069,0.98,0.12527
"2004","geno3",4,18,14.93,1.7069,0.96,0.1716
"2004","geno3",4,18,14.93,1.7069,0.94,0.26783
"2004","geno3",4,18,14.93,1.7069,0.92,0.29799
"2004","geno3",4,18,14.93,1.7069,0.9,0.36095
"2004","geno3",4,18,14.93,1.7069,0.88,0.43195
"2004","geno3",4,18,14.93,1.7069,0.86,0.48279
"2004","geno3",4,18,14.93,1.7069,0.84,0.50296
"2004","geno3",4,18,14.93,1.7069,0.82,0.5663
"2004","geno3",4,18,14.93,1.7069,0.8,0.62722
"2004","geno3",4,18,14.93,1.7069,0.78,0.65089
"2004","geno3",4,18,14.93,1.7069,0.76,0.65089
"2004","geno3",4,18,14.93,1.7069,0.74,0.66272
"2004","geno3",4,18,14.93,1.7069,0.72,0.70996
"2004","geno3",4,18,14.93,1.7069,0.7,0.71598
"2004","geno3",4,18,14.93,1.7069,0.68,0.72189
"2004","geno3",4,18,14.93,1.7069,0.66,0.76421
"2004","geno3",4,18,14.93,1.7069,0.64,0.7929
"2004","geno3",4,18,14.93,1.7069,0.62,0.7929
"2004","geno3",4,18,14.93,1.7069,0.6,0.86391
"2004","geno3",4,18,14.93,1.7069,0.58,0.86391
"2004","geno3",4,18,14.93,1.7069,0.56,0.86391
"2004","geno3",4,18,14.93,1.7069,0.54,0.91271
"2004","geno3",4,18,14.93,1.7069,0.52,0.93491
"2004","geno3",4,18,14.93,1.7069,0.5,0.92308
"2004","geno3",4,18,14.93,1.7069,0.48,0.93491
"2004","geno3",4,18,14.93,1.7069,0.46,0.93491
"2004","geno3",4,18,14.93,1.7069,0.44,0.93491
"2004","geno3",4,18,14.93,1.7069,0.42,0.99408
"2004","geno3",4,18,14.93,1.7069,0.4,0.99408
"2004","geno3",4,18,14.93,1.7069,0.38,0.92899
"2004","geno3",4,18,14.93,1.7069,0.36,1
"2004","geno3",4,18,14.93,1.7069,0.34,1
"2004","geno3",4,18,14.93,1.7069,0.32,1
"2004","geno3",4,18,14.93,1.7069,0.3,1
"2004","geno3",4,18,14.93,1.7069,0.28,0.93325
"2004","geno3",4,18,14.93,1.7069,0.26,0.94533
"2004","geno3",4,18,14.93,1.7069,0.24,0.92899
"2004","geno3",4,18,14.93,1.7069,0.22,0.92899
"2004","geno3",4,18,14.93,1.7069,0.2,0.92899
"2004","geno3",4,18,14.93,1.7069,0.18,0.86391
"2004","geno3",4,18,14.93,1.7069,0.16,0.7929
"2004","geno3",4,18,14.93,1.7069,0.14,0.7929
"2004","geno3",4,18,14.93,1.7069,0.12,0.72189
"2004","geno3",4,18,14.93,1.7069,0.1,0.72189
"2004","geno3",4,18,14.93,1.7069,0.08,0.65089
"2004","geno3",4,18,14.93,1.7069,0.0599999999999999,0.63273
"2004","geno3",4,18,14.93,1.7069,0.04,0.57396
"2004","geno3",4,18,14.93,1.7069,0.02,0.57396
"2004","geno3",4,18,14.93,1.7069,0,0.57396
"2004","geno3",5,18,23.5,3.2219,1,0
"2004","geno3",5,18,23.5,3.2219,0.98,0.12502
"2004","geno3",5,18,23.5,3.2219,0.96,0.19749
"2004","geno3",5,18,23.5,3.2219,0.94,0.26646
"2004","geno3",5,18,23.5,3.2219,0.92,0.39361
"2004","geno3",5,18,23.5,3.2219,0.9,0.43009
"2004","geno3",5,18,23.5,3.2219,0.88,0.48903
"2004","geno3",5,18,23.5,3.2219,0.86,0.52715
"2004","geno3",5,18,23.5,3.2219,0.84,0.59842
"2004","geno3",5,18,23.5,3.2219,0.82,0.63009
"2004","geno3",5,18,23.5,3.2219,0.8,0.66144
"2004","geno3",5,18,23.5,3.2219,0.78,0.69592
"2004","geno3",5,18,23.5,3.2219,0.76,0.73041
"2004","geno3",5,18,23.5,3.2219,0.74,0.73041
"2004","geno3",5,18,23.5,3.2219,0.72,0.76176
"2004","geno3",5,18,23.5,3.2219,0.7,0.79624
"2004","geno3",5,18,23.5,3.2219,0.68,0.83386
"2004","geno3",5,18,23.5,3.2219,0.66,0.83386
"2004","geno3",5,18,23.5,3.2219,0.64,0.86207
"2004","geno3",5,18,23.5,3.2219,0.62,0.90909
"2004","geno3",5,18,23.5,3.2219,0.6,0.90909
"2004","geno3",5,18,23.5,3.2219,0.58,0.95298
"2004","geno3",5,18,23.5,3.2219,0.56,0.95298
"2004","geno3",5,18,23.5,3.2219,0.54,0.94859
"2004","geno3",5,18,23.5,3.2219,0.52,0.95298
"2004","geno3",5,18,23.5,3.2219,0.5,0.94671
"2004","geno3",5,18,23.5,3.2219,0.48,0.95298
