,Area,Area_leaf,Ei,Ei_leaf,clear_sky,daydate,density,incli_base,incli_top,infl,isolated,latitude,lm_slp,phyllotactic_angle,phyllotactic_deviation,plant_area,plant_height,rmax,skew,stage,w0_slp,wl_slp
0,0.8523636542,0.7883928408,0.276773459415,0.291741871631,1.0,2018-06-01,4.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,25.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00595
1,0.8523636716,0.7883928953,0.275923022452,0.290994678106,1.0,2018-06-01,4.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00595
2,0.8523641935,0.7883935848,0.275445184132,0.290710682522,1.0,2018-06-01,4.0,86.25,23.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
3,0.8521578991,0.7881870249,0.275138312735,0.28996014594,1.0,2018-06-01,4.0,86.25,17.0,40.0,0.0,45.0,-0.02,233.87,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
4,0.852158395,0.7881874807,0.276667291349,0.290775219271,1.0,2018-06-01,4.0,86.25,17.0,40.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.1,16.0,0.007,0.00805
5,0.8521196291,0.7881490106,0.276269630077,0.290337022739,1.0,2018-06-01,4.0,86.25,17.0,40.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
6,0.8503138082,0.7863431169,0.274814992267,0.289379493211,1.0,2018-06-01,4.0,86.25,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
7,0.850925367,0.7869545578,0.275059851217,0.289807875382,1.0,2018-06-01,4.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.007,0.00805
8,0.8509256639,0.7869551037,0.275170552267,0.289946268315,1.0,2018-06-01,4.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.575,0.13,16.0,0.01,0.00805
9,0.8503821178,0.7864111764,0.276632749916,0.288848832485,1.0,2018-06-01,4.0,63.75,17.0,28.0,0.0,45.0,-0.02,179.9,34.5,8000.0,140.0,0.425,0.13,16.0,0.01,0.00805
10,0.85093673,0.7869657539,0.276523466088,0.288675689625,1.0,2018-06-01,4.0,63.75,17.0,28.0,0.0,45.0,-0.014,179.9,34.5,8000.0,140.0,0.425,0.13,16.0,0.01,0.00805
11,0.8759699841,0.7869655733,0.269204990192,0.283947915541,1.0,2018-06-01,4.0,63.75,17.0,28.0,0.0,45.0,-0.014,179.9,34.5,8000.0,200.0,0.425,0.13,16.0,0.01,0.00805
12,0.8881869486,0.7866627966,0.266885832225,0.285086893132,1.0,2018-06-01,4.0,63.75,17.0,28.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.5,0.1,16.0,0.007,0.0049
13,0.8881861788,0.7866618205,0.265782246196,0.284137845319,1.0,2018-06-01,4.0,63.75,17.0,28.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.5,0.1,16.0,0.007,0.007
14,0.8918244082,0.7903003936,0.265758009499,0.283268935359,1.0,2018-06-01,4.0,63.75,17.0,40.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.5,0.1,16.0,0.007,0.007
15,0.8912802027,0.7897559481,0.26617980137,0.278529346246,1.0,2018-06-01,4.0,63.75,17.0,40.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.35,0.1,16.0,0.007,0.007
16,0.8912274995,0.7897031876,0.265812124976,0.277279945691,1.0,2018-06-01,4.0,63.75,17.0,40.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.35,0.07,16.0,0.007,0.007
17,0.8885062327,0.786982234,0.267427439364,0.279105522894,1.0,2018-06-01,4.0,86.25,17.0,40.0,0.0,45.0,-0.017,179.9,34.5,8000.0,230.0,0.35,0.07,16.0,0.007,0.007
18,0.8885061813,0.7869821651,0.266419095119,0.277701011443,1.0,2018-06-01,4.0,86.25,17.0,40.0,0.0,45.0,-0.017,179.9,25.5,8000.0,230.0,0.35,0.07,16.0,0.007,0.007
19,0.8886741884,0.7871499477,0.26560076684,0.276904222969,1.0,2018-06-01,4.0,86.25,23.0,40.0,0.0,45.0,-0.017,179.9,25.5,8000.0,230.0,0.35,0.07,16.0,0.007,0.007
20,0.8886547146,0.7871304623,0.265549523507,0.276876139691,1.0,2018-06-01,4.0,86.25,23.0,40.0,0.0,45.0,-0.017,179.9,25.5,8000.0,230.0,0.35,0.07,16.0,0.01,0.007
21,0.8874784976,0.7859540879,0.266253949971,0.277699969979,1.0,2018-06-01,4.0,86.25,23.0,40.0,0.0,45.0,-0.023,179.9,25.5,8000.0,230.0,0.35,0.07,16.0,0.01,0.007
22,0.8624402857,0.785954198,0.272970823521,0.282537982579,1.0,2018-06-01,4.0,86.25,23.0,40.0,0.0,45.0,-0.023,179.9,25.5,8000.0,170.0,0.35,0.07,16.0,0.01,0.007
23,0.8624403796,0.7859542895,0.275929587348,0.288446545891,1.0,2018-06-01,4.0,86.25,23.0,40.0,0.0,45.0,-0.023,233.87,25.5,8000.0,170.0,0.35,0.07,16.0,0.01,0.007
24,0.8753501144,0.7863459333,0.268474730962,0.286072950943,1.0,2018-06-01,4.0,97.5,26.0,40.0,0.0,45.0,-0.02,125.93,30.0,8000.0,200.0,0.5,0.07,16.0,0.007,0.00805
25,0.8753670993,0.7863629202,0.267559183913,0.285333257792,1.0,2018-06-01,4.0,97.5,26.0,40.0,0.0,45.0,-0.02,125.93,30.0,8000.0,200.0,0.5,0.1,16.0,0.007,0.00805
26,0.8751477969,0.7861438004,0.268185293323,0.286172687602,1.0,2018-06-01,4.0,97.5,26.0,40.0,0.0,45.0,-0.026,125.93,30.0,8000.0,200.0,0.5,0.1,16.0,0.007,0.00805
27,0.8757047296,0.7867009069,0.270351720046,0.292112140463,1.0,2018-06-01,4.0,97.5,26.0,40.0,0.0,45.0,-0.026,125.93,30.0,8000.0,200.0,0.65,0.1,16.0,0.007,0.00805
28,0.8770162425,0.7880124247,0.270320352569,0.291748424009,1.0,2018-06-01,4.0,97.5,26.0,52.0,0.0,45.0,-0.026,125.93,30.0,8000.0,200.0,0.65,0.1,16.0,0.007,0.00805
29,0.8770164834,0.7880126493,0.270844780433,0.29104279809,1.0,2018-06-01,4.0,97.5,26.0,52.0,0.0,45.0,-0.026,179.9,30.0,8000.0,200.0,0.65,0.1,16.0,0.007,0.00805
30,0.8780102664,0.7890062572,0.27082989612,0.291207481132,1.0,2018-06-01,4.0,97.5,26.0,52.0,0.0,45.0,-0.026,179.9,30.0,8000.0,200.0,0.65,0.1,16.0,0.01,0.00805
31,0.8529771073,0.7890064049,0.279101765261,0.294706283253,1.0,2018-06-01,4.0,97.5,26.0,52.0,0.0,45.0,-0.026,179.9,30.0,8000.0,140.0,0.65,0.1,16.0,0.01,0.00805
32,0.8536693098,0.7896985791,0.278437950323,0.293408062781,1.0,2018-06-01,4.0,75.0,26.0,52.0,0.0,45.0,-0.026,179.9,30.0,8000.0,140.0,0.65,0.1,16.0,0.01,0.00805
33,0.8536698873,0.7896989148,0.278382104609,0.293449630503,1.0,2018-06-01,4.0,75.0,26.0,52.0,0.0,45.0,-0.026,179.9,30.0,8000.0,140.0,0.65,0.1,16.0,0.01,0.00595
34,0.853730702,0.7897597295,0.274117556944,0.288359282758,1.0,2018-06-01,4.0,75.0,20.0,52.0,0.0,45.0,-0.026,179.9,30.0,8000.0,140.0,0.65,0.1,16.0,0.01,0.00595
35,0.8537306071,0.7897596316,0.274928283905,0.288708620054,1.0,2018-06-01,4.0,75.0,20.0,52.0,0.0,45.0,-0.026,179.9,21.0,8000.0,140.0,0.65,0.1,16.0,0.01,0.00595
36,0.8776356625,0.7886313246,0.269435415144,0.284939939783,1.0,2018-06-01,4.0,86.25,14.0,46.0,0.0,45.0,-0.026,179.9,30.0,8000.0,200.0,0.5,0.1,16.0,0.01,0.007
37,0.8759070224,0.7869028238,0.26962332845,0.285897063984,1.0,2018-06-01,4.0,86.25,14.0,34.0,0.0,45.0,-0.026,179.9,30.0,8000.0,200.0,0.5,0.1,16.0,0.01,0.007
38,0.8755046959,0.7865004973,0.270590458838,0.286885524026,1.0,2018-06-01,4.0,86.25,20.0,34.0,0.0,45.0,-0.026,179.9,30.0,8000.0,200.0,0.5,0.1,16.0,0.01,0.007
39,0.8504715139,0.7865006764,0.27739604308,0.290296699594,1.0,2018-06-01,4.0,86.25,20.0,34.0,0.0,45.0,-0.026,179.9,30.0,8000.0,140.0,0.5,0.1,16.0,0.01,0.007
40,0.851404735,0.7874340289,0.277665096689,0.290848233398,1.0,2018-06-01,4.0,63.75,20.0,34.0,0.0,45.0,-0.026,179.9,30.0,8000.0,140.0,0.5,0.1,16.0,0.01,0.007
41,0.85140464,0.7874339159,0.277133305462,0.290614492255,1.0,2018-06-01,4.0,63.75,20.0,34.0,0.0,45.0,-0.026,179.9,39.0,8000.0,140.0,0.5,0.1,16.0,0.01,0.007
42,0.8508401591,0.786869506,0.276226614965,0.286356402459,1.0,2018-06-01,4.0,63.75,20.0,34.0,0.0,45.0,-0.026,179.9,39.0,8000.0,140.0,0.35,0.1,16.0,0.01,0.007
43,0.8508411252,0.7868704238,0.275390199892,0.285316326303,1.0,2018-06-01,4.0,63.75,20.0,34.0,0.0,45.0,-0.026,179.9,39.0,8000.0,140.0,0.35,0.1,16.0,0.01,0.0049
44,0.8508409016,0.7868702157,0.274679530878,0.286686875695,1.0,2018-06-01,4.0,63.75,20.0,34.0,0.0,45.0,-0.026,233.87,39.0,8000.0,140.0,0.35,0.1,16.0,0.01,0.0049
45,0.8509367053,0.7869657661,0.274693149014,0.286749578732,1.0,2018-06-01,4.0,63.75,20.0,34.0,0.0,45.0,-0.026,233.87,39.0,8000.0,140.0,0.35,0.1,16.0,0.013,0.0049
46,0.8509945014,0.787023569,0.275091138582,0.287473652694,1.0,2018-06-01,4.0,63.75,20.0,34.0,0.0,45.0,-0.026,233.87,39.0,8000.0,140.0,0.35,0.13,16.0,0.013,0.0049
