"plant_height","rmax","skew","wl_slp","w0_slp","lm_slp","incli_top","incli_base","infl","phyllotactic_angle","phyllotactic_deviation","plant_area","stage"
140,0.575,0.1,0.00595,0.007,-0.02,23,86.25,40,233.87,25.5,6000,16
140,0.575,0.1,0.00595,0.007,-0.02,23,86.25,40,233.87,34.5,6000,16
140,0.575,0.1,0.00805,0.007,-0.02,23,86.25,40,233.87,34.5,6000,16
140,0.575,0.1,0.00805,0.007,-0.02,17,86.25,40,233.87,34.5,6000,16
140,0.575,0.1,0.00805,0.007,-0.02,17,86.25,40,179.9,34.5,6000,16
140,0.575,0.13,0.00805,0.007,-0.02,17,86.25,40,179.9,34.5,6000,16
140,0.575,0.13,0.00805,0.007,-0.02,17,86.25,28,179.9,34.5,6000,16
140,0.575,0.13,0.00805,0.007,-0.02,17,63.75,28,179.9,34.5,6000,16
140,0.575,0.13,0.00805,0.01,-0.02,17,63.75,28,179.9,34.5,6000,16
140,0.425,0.13,0.00805,0.01,-0.02,17,63.75,28,179.9,34.5,6000,16
140,0.425,0.13,0.00805,0.01,-0.014,17,63.75,28,179.9,34.5,6000,16
200,0.425,0.13,0.00805,0.01,-0.014,17,63.75,28,179.9,34.5,6000,16
230,0.5,0.1,0.0049,0.007,-0.017,17,63.75,28,179.9,34.5,6000,16
230,0.5,0.1,0.007,0.007,-0.017,17,63.75,28,179.9,34.5,6000,16
230,0.5,0.1,0.007,0.007,-0.017,17,63.75,40,179.9,34.5,6000,16
230,0.35,0.1,0.007,0.007,-0.017,17,63.75,40,179.9,34.5,6000,16
230,0.35,0.07,0.007,0.007,-0.017,17,63.75,40,179.9,34.5,6000,16
230,0.35,0.07,0.007,0.007,-0.017,17,86.25,40,179.9,34.5,6000,16
230,0.35,0.07,0.007,0.007,-0.017,17,86.25,40,179.9,25.5,6000,16
230,0.35,0.07,0.007,0.007,-0.017,23,86.25,40,179.9,25.5,6000,16
230,0.35,0.07,0.007,0.01,-0.017,23,86.25,40,179.9,25.5,6000,16
230,0.35,0.07,0.007,0.01,-0.023,23,86.25,40,179.9,25.5,6000,16
170,0.35,0.07,0.007,0.01,-0.023,23,86.25,40,179.9,25.5,6000,16
170,0.35,0.07,0.007,0.01,-0.023,23,86.25,40,233.87,25.5,6000,16
200,0.5,0.07,0.00805,0.007,-0.02,26,97.5,40,125.93,30,6000,16
200,0.5,0.1,0.00805,0.007,-0.02,26,97.5,40,125.93,30,6000,16
200,0.5,0.1,0.00805,0.007,-0.026,26,97.5,40,125.93,30,6000,16
200,0.65,0.1,0.00805,0.007,-0.026,26,97.5,40,125.93,30,6000,16
200,0.65,0.1,0.00805,0.007,-0.026,26,97.5,52,125.93,30,6000,16
200,0.65,0.1,0.00805,0.007,-0.026,26,97.5,52,179.9,30,6000,16
